Scenario ID,Module / Pillar,Scenario Category,Sub-Category / Clinical Phenotype,Surgeon / Actor Role,Pre-Conditions & Clinical Parameters,Execution Action / Trigger,Expected Clinical & System Outcome,Compliance & Clinical Standard,Priority / Risk Level
"SCN-0001","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2a • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0002","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2a • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0003","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2a • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0004","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2a • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0005","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0006","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0007","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0008","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0009","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0010","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
